date,slot_number,session,direction,decision_idx,flag_ordinal,entry_time,entry_symbol,entry_price,entry_bar_idx,exit_time,exit_price,exit_reason,net_pct,peak_net_pct,entry_chop,chop_score,tq,lock_fired,hold_bars,w1a,h50_held,ignored_flags,regime_hold,regime_eligible,hold_minutes,mode,mode_reason,h50_hold_at,relax,legs,runner_used,mae_net_pct,tp1_hit,trend_at_entry,e_close,e_ema20,e_ema50,e_slope,ax_mode,ax_at,ax_net,pp_armed,pp_fired,pp_arm_at,pp_arm_idx,pp_flip_at,pp_fire_at,pp_fire_idx,pp_peak,pp_give,peak_at
20260611,1,MORNING,DOWN_BLUE,1353,1,2026-06-11T09:09:00+09:00,0197X0,16180.0,1354,2026-06-11T09:15:00+09:00,15605.0,TIME_WINDOW_STOP_LOSS,-3.642213,0.0,False,0,,False,1,1.0,False,0,False,True,6.0,,,,,"[('2026-06-11T09:15:00+09:00', 15605.0, 1.0, 'TIME_WINDOW_STOP_LOSS', -3.6422)]",False,-3.64221260815822,False,True,1991000.0,2009295.6540472142,2026630.3486051962,-1454.299943069229,,,,False,False,,,,,,,,
20260611,2,MORNING,UP_RED,1357,2,2026-06-11T09:21:00+09:00,0193T0,21655.0,1358,2026-06-11T09:36:00+09:00,21250.0,TIME_WINDOW_STOP_LOSS,-1.959409,1.663957515585315,False,2,,False,4,1.2,False,0,False,True,15.0,,,,,"[('2026-06-11T09:36:00+09:00', 21250.0, 1.0, 'TIME_WINDOW_STOP_LOSS', -1.9594)]",False,-1.9594089124913414,False,False,2051000.0,2013522.2717442166,2025708.2688702946,1032.315556314541,,,,False,False,,,,,,,,2026-06-11T09:23:00+09:00
20260611,3,AFTERNOON,DOWN_BLUE,1416,7,2026-06-11T12:18:00+09:00,0197X0,15085.0,1417,2026-06-11T12:24:00+09:00,14815.0,TIME_WINDOW_STOP_LOSS,-1.879019,0.07563805104408353,False,2,,False,1,0.7999999999999998,False,0,False,True,6.0,,,,,"[('2026-06-11T12:24:00+09:00', 14815.0, 1.0, 'TIME_WINDOW_STOP_LOSS', -1.879)]",False,-1.8790188929400067,False,True,2055000.0,2066993.4500617974,2071025.7251336025,-654.1112299428787,,,,False,False,,,,,,,,2026-06-11T12:20:00+09:00
20260612,1,MORNING,DOWN_BLUE,1492,1,2026-06-12T09:48:00+09:00,0197X0,11845.0,1493,2026-06-12T10:41:00+09:00,12385.0,TIME_WINDOW_TP2_FULL,4.281131,4.466779231743352,False,2,,False,17,1.0,False,0,False,True,53.0,,,,,"[('2026-06-12T10:41:00+09:00', np.float64(12385.0), 0.8, 'TIME_WINDOW_TP2_FULL', 4.4668)]",False,-1.0604474461798228,True,False,2284000.0,2247242.1355589367,2183693.066705154,4094.1605426468886,,,,False,False,,,,,,,,2026-06-12T10:41:00+09:00
20260615,1,MORNING,UP_RED,1604,1,2026-06-15T09:06:00+09:00,0193T0,26795.0,1605,2026-06-15T09:57:00+09:00,27560.0,OPPOSITE_SIGNAL,2.763725,3.6590035454375816,False,0,,False,16,1.0,False,0,False,True,51.0,,,,,"[('2026-06-15T09:57:00+09:00', 27560.0, 1.0, 'OPPOSITE_SIGNAL', 2.7637)]",False,-0.05269639858182496,True,False,2290000.0,2226277.783090883,2244307.1992906537,1865.0122738508508,,,,False,False,,,,,,,,2026-06-15T09:32:00+09:00
20260615,2,MORNING,DOWN_BLUE,1621,2,2026-06-15T09:57:00+09:00,0197X0,11590.0,1622,2026-06-15T10:56:00+09:00,12085.0,TIME_WINDOW_TP2_FULL,3.954806,4.179033649698016,False,2,,False,19,1.0,False,0,False,True,59.0,,,,,"[('2026-06-15T10:56:00+09:00', np.float64(12085.0), 0.8, 'TIME_WINDOW_TP2_FULL', 4.179)]",False,-0.5643658326143226,True,False,2311000.0,2291894.3718556953,2274540.3138476457,1488.1504551982507,,,,False,False,,,,,,,,2026-06-15T10:56:00+09:00
20260615,3,AFTERNOON,UP_RED,1687,5,2026-06-15T13:15:00+09:00,0193T0,27480.0,1688,2026-06-15T14:36:00+09:00,26875.0,TIME_WINDOW_STOP_LOSS,-2.290611,0.2555312954876274,False,1,,False,26,1.0,True,0,False,True,81.0,,,2026-06-15T13:42:00+09:00,,"[('2026-06-15T14:36:00+09:00', 26875.0, 1.0, 'TIME_WINDOW_STOP_LOSS', -2.2906)]",False,-2.2906113537117903,False,True,2305000.0,2297616.7434976995,2292995.1736571062,489.99291195487604,,,,False,False,,,,,,,,2026-06-15T13:28:00+09:00
20260616,1,MORNING,DOWN_BLUE,1743,1,2026-06-16T09:45:00+09:00,0197X0,11225.0,1744,2026-06-16T10:06:00+09:00,11715.0,TIME_WINDOW_TP2_FULL,4.050708,4.273318485523386,False,2,,False,6,1.0,False,0,False,True,21.0,,,,,"[('2026-06-16T10:06:00+09:00', 11715.0, 0.8, 'TIME_WINDOW_TP2_FULL', 4.2733)]",False,-0.6242316258351892,True,False,2353000.0,2348520.8469643393,2327314.7390064774,1048.3779997355305,,,,False,False,,,,,,,,2026-06-16T10:06:00+09:00
20260616,2,MORNING,UP_RED,1760,2,2026-06-16T10:36:00+09:00,0193T0,28090.0,1761,2026-06-16T12:45:00+09:00,29255.0,SMALL_WHIPSAW_HOLD_EXIT,4.055536,3.5751512993948027,False,2,,False,42,1.0,True,0,False,True,129.0,,,2026-06-16T11:45:00+09:00,,"[('2026-06-16T12:45:00+09:00', 29255.0, 1.0, 'SMALL_WHIPSAW_HOLD_EXIT', 4.0555)]",False,0.0,True,True,2337000.0,2329932.295267103,2326125.6225984977,443.85213883733377,,,,False,False,,,,,,,,2026-06-16T12:42:00+09:00
20260616,3,AFTERNOON,UP_RED,1832,6,2026-06-16T14:12:00+09:00,0193T0,29210.0,1833,2026-06-16T14:51:00+09:00,28865.0,TIME_WINDOW_STOP_LOSS,-1.270558,0.21800753166723724,False,1,,False,12,1.0,True,0,False,True,39.0,,,2026-06-16T14:36:00+09:00,,"[('2026-06-16T14:51:00+09:00', 28865.0, 1.0, 'TIME_WINDOW_STOP_LOSS', -1.2706)]",False,-1.4758644299897297,False,True,2379000.0,2371979.308555797,2365872.2499419563,535.8265329813585,,,,False,False,,,,,,,,2026-06-16T14:19:00+09:00
