date,flag,dec,dir,score,premarket,base_taken,released,rel_at,price,+3m,+6m,+9m,+15m,+30m,+60m,MFE,MAE
20260629,09:30,09:36,R,-1,DOWN_BLUE,True,False,,13000.0,-0.15384615384615385,-0.2692307692307692,-0.46153846153846156,-0.576923076923077,-1.3461538461538463,-2.769230769230769,0.07692307692307693,-2.8461538461538463
20260702,09:39,09:45,R,-1,DOWN_BLUE,True,False,,12850.0,-0.3501945525291829,-0.7003891050583658,-1.0894941634241244,-1.7120622568093387,-3.035019455252918,-5.291828793774319,0.07782101167315175,-5.408560311284047
20260707,09:45,09:51,R,-1,DOWN_BLUE,False,False,,12510.0,-0.2797761790567546,-0.5995203836930456,-0.8792965627498002,-1.4388489208633095,-3.037569944044764,-6.594724220623502,0.15987210231814547,-6.634692246203038
20260708,09:36,09:42,R,-1,DOWN_BLUE,True,False,,13160.0,-0.11398176291793312,-0.1899696048632219,-0.3799392097264438,-0.4179331306990881,-0.8358662613981762,-1.4817629179331306,0.1519756838905775,-1.5577507598784195
20260710,09:00,09:06,R,-1,DOWN_BLUE,True,False,,13200.0,-0.07575757575757576,-0.30303030303030304,-0.5303030303030304,-0.946969696969697,-1.9318181818181817,-3.6742424242424243,0.07575757575757576,-3.75
20260713,09:54,10:00,R,-1,DOWN_BLUE,False,False,,12105.0,-0.41305245766212306,-1.0326311441553075,-1.4043783560512184,-2.437009500206526,-4.874019000413052,-9.995869475423378,0.2891367203634862,-9.995869475423378
20260715,09:39,09:45,B,-3,UP_RED,True,False,,8635.0,-1.795020266357846,-1.447596988998263,-1.910828025477707,1.7371163867979156,2.3740590619571513,7.932831499710481,8.453966415749855,-2.1424435437174294
20260716,09:48,09:54,R,-1,DOWN_BLUE,False,False,,14630.0,1.1961722488038278,2.699931647300068,1.5721120984278878,-1.2987012987012987,-2.0164046479835953,1.7429938482570062,3.588516746411483,-3.2125768967874233
20260720,09:48,09:54,B,-1,UP_RED,True,False,,11510.0,-1.1294526498696786,0.3909643788010426,-2.041702867072111,-0.5647263249348393,-1.998262380538662,6.733275412684622,8.036490008688098,-2.6064291920069502
20260721,10:51,10:57,B,-2,UP_RED,False,False,,11455.0,-0.4364906154517678,-0.4364906154517678,1.1785246617197729,1.0475774770842428,0.4364906154517678,-1.7459624618070713,2.4443474465298998,-1.7459624618070713
20260722,09:39,09:45,B,-1,UP_RED,True,False,,9530.0,-1.2067156348373556,0.5246589716684155,-0.577124868835257,-0.3147953830010493,-3.4627492130115427,-2.36096537250787,0.5246589716684155,-3.830010493179433
20260727,10:18,10:24,B,-1,UP_RED,True,False,,12235.0,0.04086636697997548,0.0,0.04086636697997548,-0.04086636697997548,-0.2043318348998774,0.04086636697997548,0.2451982018798529,-0.4903964037597058
20260728,09:54,10:00,R,-1,DOWN_BLUE,False,False,,12645.0,-0.15816528272044286,-0.4744958481613286,-0.55357848952155,-1.0676156583629894,-2.2143139580862,-4.665875840253064,0.11862396204033215,-4.744958481613286
20260730,09:30,09:36,R,-1,DOWN_BLUE,True,False,,12970.0,-0.1927525057825752,-0.3855050115651504,-0.5782575173477255,-1.156515034695451,-2.120277563608327,-4.279105628373169,0.15420200462606012,-4.317656129529683
20260803,09:39,09:45,R,-3,DOWN_BLUE,True,False,,9655.0,-0.7250129466597618,2.071465561885034,2.4857586742620406,3.158984981874676,-1.8125323666494046,-2.848265147591921,3.8839979285344386,-3.9357845675815644
20260803,10:42,10:48,R,-2,DOWN_BLUE,False,False,,9545.0,-0.3143006809848088,0.9952854897852279,0.5238344683080147,2.357255107386066,1.9381875327396543,1.1000523834468308,3.457307490832897,-1.5715034049240442
