datetime,open,high,low,close,volume,session
2026-07-07 07:32:00,98.89500000000001,98.975,98.85144,98.97032,949,aftermarket
2026-07-07 07:33:00,98.947,98.975,98.939,98.975,323,aftermarket
2026-07-07 07:34:00,98.96000000000001,98.975,98.92,98.97,2063,aftermarket
2026-07-07 07:35:00,98.92,98.975,98.901,98.934,363,aftermarket
2026-07-07 07:36:00,98.9,98.94498999999999,98.884,98.904,418,aftermarket
2026-07-07 07:37:00,98.922,98.94,98.9,98.9,320,aftermarket
2026-07-07 07:38:00,98.92999999999999,98.94,98.90001,98.91,833,aftermarket
2026-07-07 07:39:00,98.9,99.07000000000001,98.9,99.07000000000001,1894,aftermarket
2026-07-07 07:40:00,99.03200000000001,99.1,99.0,99.07723999999999,2650,aftermarket
2026-07-07 07:41:00,99.099,99.1,98.995,98.998,2327,aftermarket
2026-07-07 07:42:00,98.92699999999999,99.09,98.92600999999999,98.97,1066,aftermarket
2026-07-07 07:43:00,98.97,99.0,98.3,98.339,9711,aftermarket
2026-07-07 07:44:00,98.4,98.4,98.14675,98.152,6310,aftermarket
2026-07-07 07:45:00,98.14,98.199,97.71900000000001,97.83,18771,aftermarket
2026-07-07 07:46:00,97.818,98.0,97.7,97.899,6286,aftermarket
2026-07-07 07:47:00,97.9,98.1,97.84400000000001,98.02799999999999,4212,aftermarket
2026-07-07 07:48:00,98.01277,98.01277,97.7,97.9,6757,aftermarket
2026-07-07 07:49:00,97.9,97.9,97.7,97.85,6234,aftermarket
2026-07-07 07:50:00,97.82667000000001,97.97999999999999,97.77111,97.91,1962,aftermarket
2026-07-07 07:51:00,97.91499999999999,98.1,97.9,98.038,4003,aftermarket
2026-07-07 07:52:00,98.1,98.1,97.663,97.77221,7909,aftermarket
2026-07-07 07:53:00,97.76,97.978,97.7,97.7052,3597,aftermarket
2026-07-07 07:54:00,97.721,97.85,97.7,97.792,1972,aftermarket
2026-07-07 07:55:00,97.75644,97.8,97.28,97.30199999999999,14785,aftermarket
2026-07-07 07:56:00,97.3,97.4688,96.812,96.852,27240,aftermarket
2026-07-07 07:57:00,96.93771000000001,97.111,96.785,97.0,14386,aftermarket
2026-07-07 07:58:00,97.0,97.1,96.86,97.05,6890,aftermarket
2026-07-07 07:59:00,97.05,97.28999999999999,97.0,97.2,8752,aftermarket
2026-07-07 08:00:00,97.263,97.5,97.2,97.2,5159,aftermarket
2026-07-07 08:01:00,97.249,97.495,97.14,97.33,3591,aftermarket
2026-07-07 08:02:00,97.372,97.58,97.31066,97.5104,6250,aftermarket
2026-07-07 08:03:00,97.562,97.9,97.5,97.661,6275,aftermarket
2026-07-07 08:04:00,97.661,97.8,97.6,97.6,6207,aftermarket
2026-07-07 08:05:00,97.683,97.85,97.6,97.795,3226,aftermarket
2026-07-07 08:06:00,97.79992999999999,97.8,97.65,97.78,3951,aftermarket
2026-07-07 08:07:00,97.715,97.9,97.7,97.86612,6015,aftermarket
2026-07-07 08:08:00,97.861,97.9,97.62100000000001,97.63454,5016,aftermarket
2026-07-07 08:09:00,97.626,97.638,97.22263000000001,97.47999999999999,6119,aftermarket
2026-07-07 08:10:00,97.401,97.477,97.301,97.477,3327,aftermarket
2026-07-07 08:11:00,97.446,97.48400000000001,97.35,97.37899999999999,2696,aftermarket
2026-07-07 08:12:00,97.39099999999999,97.422,97.05,97.1089,7827,aftermarket
2026-07-07 08:13:00,97.199,97.36,97.067,97.16,5436,aftermarket
2026-07-07 08:14:00,97.1,97.36,97.1,97.28626,3942,aftermarket
2026-07-07 08:15:00,97.3,97.3,96.779,96.988,10864,aftermarket
2026-07-07 08:16:00,97.03,97.03,96.799,96.84,7738,aftermarket
2026-07-07 08:17:00,96.84948,97.03,96.84,97.0,6003,aftermarket
2026-07-07 08:18:00,97.035,97.2,97.0,97.05,4131,aftermarket
2026-07-07 08:19:00,97.03926,97.2,97.0,97.1683,1801,aftermarket
2026-07-07 08:20:00,97.1,97.199,97.066,97.18116,5937,aftermarket
2026-07-07 08:21:00,97.19,97.19,97.1,97.144,3525,aftermarket
2026-07-07 08:22:00,97.1612,97.3,97.10900000000001,97.29688,4501,aftermarket
2026-07-07 08:23:00,97.298,97.3,97.15,97.23424,4627,aftermarket
2026-07-07 08:24:00,97.23398,97.299,97.2,97.299,1895,aftermarket
2026-07-07 08:25:00,97.299,97.398,97.2,97.275,3482,aftermarket
2026-07-07 08:26:00,97.28,97.3,97.15,97.199,3598,aftermarket
2026-07-07 08:27:00,97.2,97.392,97.2,97.301,4007,aftermarket
2026-07-07 08:28:00,97.3,97.34400000000001,97.257,97.27000000000001,1139,aftermarket
2026-07-07 08:29:00,97.26693,97.398,97.2,97.22999999999999,1843,aftermarket
2026-07-07 08:30:00,97.248,97.3,97.11,97.11,5545,aftermarket
2026-07-07 08:31:00,97.15,97.2,96.995,97.07347999999999,6371,aftermarket
2026-07-07 08:32:00,97.0217,97.09700000000001,96.846,96.877,7705,aftermarket
2026-07-07 08:33:00,96.87993,97.1,96.8,97.0,5721,aftermarket
2026-07-07 08:34:00,97.057,97.1,96.999,97.0,3369,aftermarket
2026-07-07 08:35:00,97.006,97.09,96.771,96.825,6838,aftermarket
2026-07-07 08:36:00,96.82156,96.899,96.69500000000001,96.75372999999999,7544,aftermarket
2026-07-07 08:37:00,96.773,96.8,96.625,96.717,12397,aftermarket
2026-07-07 08:38:00,96.72200000000001,96.8,96.358,96.4,14323,aftermarket
2026-07-07 08:39:00,96.398,96.5,96.311,96.361,9002,aftermarket
2026-07-07 08:40:00,96.372,96.399,96.209,96.284,8992,aftermarket
2026-07-07 08:41:00,96.257,96.47999999999999,96.24,96.32000000000001,8261,aftermarket
2026-07-07 08:42:00,96.32000000000001,96.35,96.209,96.25203,6522,aftermarket
2026-07-07 08:43:00,96.235,96.5,96.235,96.47200000000001,8066,aftermarket
2026-07-07 08:44:00,96.45,96.6,96.4,96.42999999999999,4924,aftermarket
2026-07-07 08:45:00,96.449,96.449,96.215,96.275,7091,aftermarket
2026-07-07 08:46:00,96.225,96.285,96.2,96.23898,7879,aftermarket
2026-07-07 08:47:00,96.233,96.275,96.2,96.21000000000001,4003,aftermarket
