date,at,flag_at,direction,flag_ord,idx,flag_idx,approved,reason,base_approved,base_reason,tw2_cleared,slot,session,flat,held_symbol,forced,tq_score,tq_ok,teg_ok,entry_chop,chop_score,trend_ok,gap,gap_prev,gap_exp,gap_pct,e20_e50_pct,slope50,slope20,close_e20_pct,vwap_pct,vol_ratio,minute,approved_h50,reason_h50,solo_n,solo_net,solo_peak,solo_mae,solo_reason,solo_hold_min,solo_entry,solo_exit,solo_pp_fired,solo_h50_held,policy_locked,miss,win
20260608,2026-06-08T12:03:00+09:00,2026-06-08T11:57:00+09:00,DOWN_BLUE,3,947,946,False,TW2_REJECT_VWAP_VETO,True,,False,,,True,,,4,True,False,False,2,False,3789.012155384382,1899.6120193619245,1889.4001360224574,0.18757485917744465,-0.9107325523573615,-360.16110976040363,1007.6684598410502,0.4739034835886934,-1.9887570534301144,0.5379916087969129,12:03,False,REJECT_LOW_QUALITY_SCORE,1,-1.223095,0.9114157658845242,-1.5129976272080148,TIME_WINDOW_STOP_LOSS,21.0,2026-06-08T12:03:00+09:00,2026-06-08T12:24:00+09:00,False,False,False,True,False
20260608,2026-06-08T14:33:00+09:00,2026-06-08T14:27:00+09:00,UP_RED,4,997,996,False,REJECT_MACD_GAP_NOT_EXPANDING,False,REJECT_MACD_GAP_NOT_EXPANDING,False,,,True,,,2,False,False,False,2,False,582.1935589629338,596.6684753910085,-14.474916428074721,0.02952299994741044,-0.6604902802554359,-1006.3870904666837,-1224.3805673471652,-0.5898385086104143,-0.6237182438941393,0.48595962525376074,14:33,False,REJECT_MACD_GAP_NOT_EXPANDING,1,-1.853648,0.0,-1.8536480686695278,TIME_WINDOW_STOP_LOSS,6.0,2026-06-08T14:33:00+09:00,2026-06-08T14:39:00+09:00,False,False,False,True,False
20260609,2026-06-09T13:54:00+09:00,2026-06-09T13:48:00+09:00,DOWN_BLUE,5,1196,1195,False,TW2_REJECT_VWAP_VETO,False,REJECT_TIME_WINDOW,False,,,True,,,3,True,False,True,3,False,1361.0936104913126,8.883324305163114,1352.2102861861495,0.06301359307830151,-1.5994981140216284,-1790.4692495046183,-980.7723526312038,-0.43135821064794005,-4.167125804638352,0.9912471373675426,13:54,False,TW2_REJECT_VWAP_VETO,1,-3.194203,0.0,-3.1942028985507243,TIME_WINDOW_STOP_LOSS,9.0,2026-06-09T13:54:00+09:00,2026-06-09T14:03:00+09:00,False,False,False,True,False
20260610,2026-06-10T13:57:00+09:00,2026-06-10T13:51:00+09:00,UP_RED,5,1323,1322,False,TW2_REJECT_VWAP_VETO,False,REJECT_TIME_WINDOW,False,,,True,,,2,False,False,True,3,False,540.9759957270144,189.88779500305827,351.0882007239561,0.02676773853176716,-1.3384826897212867,-1842.5123306629248,-1904.2965202077758,-0.8951418575939742,-4.012912663902428,1.2606578047776211,13:57,False,TW2_REJECT_VWAP_VETO,1,0.242433,1.6910905203136137,-0.5174625801853172,EARLY_TAKE_PROFIT,12.0,2026-06-10T13:57:00+09:00,2026-06-10T14:09:00+09:00,False,False,False,True,True
20260611,2026-06-11T09:51:00+09:00,2026-06-11T09:45:00+09:00,DOWN_BLUE,3,1367,1366,False,REJECT_NOT_CONFIRMED,False,REJECT_NOT_CONFIRMED,False,,,True,,,0,False,False,True,3,False,-575.0206054653227,132.83959522969053,-707.8602006950132,-0.028145893561689804,0.08948177064182507,-554.1020265973639,-1621.4328658788,-0.7539702508980464,-1.3973695374970905,0.4472257348806558,09:51,False,REJECT_NOT_CONFIRMED,1,-4.368653,0.0,-4.368653276259467,TIME_WINDOW_STOP_LOSS,6.0,2026-06-11T09:51:00+09:00,2026-06-11T09:57:00+09:00,False,False,False,True,False
20260611,2026-06-11T09:54:00+09:00,2026-06-11T09:48:00+09:00,UP_RED,4,1368,1367,False,REJECT_SHORT_FLAG_INTERVAL,False,REJECT_SHORT_FLAG_INTERVAL,False,,,True,,,5,True,False,False,1,True,2673.8998837906265,575.0206054653227,2098.879278325304,0.12917390742949886,0.02990969181748035,1591.1960647699889,4038.439259604318,1.853389998369216,2.614579418556402,0.9837029705678658,09:54,False,REJECT_SHORT_FLAG_INTERVAL,1,1.973698,7.895646319569121,0.0,PP_EXIT,39.0,2026-06-11T09:54:00+09:00,2026-06-11T10:33:00+09:00,True,False,False,True,True
20260611,2026-06-11T10:36:00+09:00,2026-06-11T10:30:00+09:00,DOWN_BLUE,5,1382,1381,False,TW2_REJECT_VWAP_VETO,True,,False,,,True,,,3,True,False,False,2,False,2004.982256134892,615.1043591782363,1389.8778969566556,0.09511301025307836,-1.3453483208466543,-1646.3280544858426,-1260.5362875214778,-0.5680784976969834,-2.3944749903169757,0.8234126557915133,10:36,False,REJECT_LOW_QUALITY_SCORE,1,-3.380946,0.12007005253940456,-3.6960420315236426,TIME_WINDOW_STOP_LOSS,6.0,2026-06-11T10:36:00+09:00,2026-06-11T10:42:00+09:00,False,False,False,True,False
20260611,2026-06-11T11:54:00+09:00,2026-06-11T11:48:00+09:00,UP_RED,6,1408,1407,False,REJECT_LOW_QUALITY_SCORE,False,REJECT_LOW_QUALITY_SCORE,False,,,True,,,3,True,False,True,3,False,572.7755951950148,302.8321120026294,269.94348319238543,0.027710478722545465,-0.05587806209310642,-279.2253338913433,-598.5285407234915,-0.275085686350937,0.09051429447047989,0.5256101776479439,11:54,False,REJECT_LOW_QUALITY_SCORE,1,-1.787231,1.2225039619651348,-1.787231152365859,TIME_WINDOW_STOP_LOSS,18.0,2026-06-11T11:54:00+09:00,2026-06-11T12:12:00+09:00,False,False,False,True,False
20260611,2026-06-11T13:21:00+09:00,2026-06-11T13:15:00+09:00,DOWN_BLUE,9,1437,1436,False,REJECT_MACD_GAP_NOT_EXPANDING,False,REJECT_MACD_GAP_NOT_EXPANDING,False,,,True,,,2,False,False,False,2,False,458.09986188754374,794.9824812781053,-336.88261939056156,0.021803896329726024,-0.3816325292573366,-771.5322270935867,-1145.7305393784773,-0.5180599773486301,-1.615389442689665,1.005481200608188,13:21,False,REJECT_MACD_GAP_NOT_EXPANDING,1,-2.047203,0.7487412587412587,-2.326783216783217,TIME_WINDOW_STOP_LOSS,24.0,2026-06-11T13:21:00+09:00,2026-06-11T13:45:00+09:00,False,False,False,True,False
20260611,2026-06-11T14:00:00+09:00,2026-06-11T13:54:00+09:00,DOWN_BLUE,11,1450,1449,False,REJECT_MACD_GAP_NOT_EXPANDING,False,REJECT_MACD_GAP_NOT_EXPANDING,False,,,True,,,2,False,False,True,3,False,178.27278105766345,232.73967429763616,-54.466893239972705,0.008436951304196093,-0.5235673667377075,-840.7952733794227,-1003.8427093289793,-0.45132540173328783,-2.0797265910758065,0.8678345243375933,14:00,False,REJECT_MACD_GAP_NOT_EXPANDING,1,0.293478,1.618346703871643,-0.4386466689919777,EARLY_TAKE_PROFIT,9.0,2026-06-11T14:00:00+09:00,2026-06-11T14:09:00+09:00,False,False,False,True,True
20260612,2026-06-12T11:57:00+09:00,2026-06-12T11:51:00+09:00,UP_RED,2,1535,1534,False,TW2_3SLOT_REJECT_TEG,True,,True,2.0,AFTERNOON,True,,,4,True,False,False,1,True,430.81753819001096,121.2397826105962,309.57775557941477,0.018953697236692078,0.6314176011187698,862.0641423640773,712.468359418679,0.2977760411121871,-0.20557640250361076,0.6133874150764687,11:57,False,TW2_3SLOT_REJECT_TEG,1,0.078695,1.8970742685671418,-0.8023630907726932,TIME_WINDOW_BREAKEVEN_STOP,153.0,2026-06-12T11:57:00+09:00,2026-06-12T14:30:00+09:00,False,False,False,True,True
20260612,2026-06-12T12:24:00+09:00,2026-06-12T12:18:00+09:00,DOWN_BLUE,3,1544,1543,False,TW2_3SLOT_REJECT_TEG,True,,True,2.0,AFTERNOON,True,,,5,True,False,False,2,False,795.6335507844715,556.2279481036994,239.40560268077206,0.03509631895829164,-0.5006463846764032,-370.2967085358687,239.7246506824158,0.10045805829217683,0.45621183104787977,1.0558414692600722,12:24,False,TW2_3SLOT_REJECT_TEG,1,-1.257131,0.0,-1.4238532110091744,TIME_WINDOW_STOP_LOSS,21.0,2026-06-12T12:24:00+09:00,2026-06-12T12:45:00+09:00,False,False,False,True,False
20260612,2026-06-12T12:45:00+09:00,2026-06-12T12:39:00+09:00,UP_RED,4,1551,1550,False,TW2_3SLOT_REJECT_TEG,True,,True,2.0,AFTERNOON,True,,,4,True,False,False,2,True,254.46696951500644,84.76142648932955,169.7055430256769,0.011175536649758736,0.4325894659144381,620.9945681542158,564.6636611483991,0.23558650772544554,-0.009994695896552573,0.7956444632574569,12:45,False,TW2_3SLOT_REJECT_TEG,1,-3.058424,1.4781845349271572,-3.0584236085169967,TIME_WINDOW_STOP_LOSS,111.0,2026-06-12T12:45:00+09:00,2026-06-12T14:36:00+09:00,False,False,False,True,False
20260612,2026-06-12T13:09:00+09:00,2026-06-12T13:03:00+09:00,DOWN_BLUE,5,1559,1558,False,TW2_3SLOT_REJECT_TEG,False,REJECT_TIME_WINDOW,True,2.0,AFTERNOON,True,,,4,True,False,True,3,False,194.87881871269974,43.090536942635026,151.7882817700647,0.008566101921437351,-0.3698969059881887,-377.7241721218452,-88.32501113135368,-0.03688297168116321,0.09696341650183377,0.8273653586540575,13:09,False,TW2_3SLOT_REJECT_TEG,1,-1.479983,0.0,-1.4799831436999578,TIME_WINDOW_STOP_LOSS,18.0,2026-06-12T13:09:00+09:00,2026-06-12T13:27:00+09:00,False,False,False,True,False
20260612,2026-06-12T13:15:00+09:00,2026-06-12T13:09:00+09:00,UP_RED,6,1561,1560,False,REJECT_NOT_CONFIRMED,False,REJECT_NOT_CONFIRMED,False,,,True,,,3,True,False,True,3,True,-125.38979379656303,18.28170709718779,-143.67150089375082,-0.005509217653627549,0.3582711460011535,380.20597357302904,122.18895469000563,0.05100154084168204,-0.05392594002044289,0.7484935196094934,13:15,False,REJECT_NOT_CONFIRMED,1,-1.244718,1.2322712874976711,-1.7103037078442331,TIME_WINDOW_STOP_LOSS,78.0,2026-06-12T13:15:00+09:00,2026-06-12T14:33:00+09:00,False,False,False,True,False
20260612,2026-06-12T13:18:00+09:00,2026-06-12T13:12:00+09:00,DOWN_BLUE,7,1562,1561,False,REJECT_NOT_CONFIRMED,False,REJECT_NOT_CONFIRMED,False,,,True,,,0,False,False,True,4,False,-89.45956450208632,125.38979379656303,-214.84935829864935,-0.0039219449584430655,-0.35859795281878304,-561.3743667667732,-586.74238757696,-0.24436881551862005,-0.16454443631989446,1.3353046963480826,13:18,False,REJECT_NOT_CONFIRMED,1,-1.4442,0.0,-1.4441998306519899,TIME_WINDOW_STOP_LOSS,15.0,2026-06-12T13:18:00+09:00,2026-06-12T13:33:00+09:00,False,False,False,True,False
20260612,2026-06-12T13:21:00+09:00,2026-06-12T13:15:00+09:00,UP_RED,8,1563,1562,False,REJECT_SHORT_FLAG_INTERVAL,False,REJECT_SHORT_FLAG_INTERVAL,False,,,True,,,5,True,False,False,2,True,134.65021390632955,89.45956450208632,45.19064940424323,0.005905711136242524,0.3559254109343971,500.14399944245815,435.62406495027244,0.1815100270626952,0.1200164549317621,0.765903174060536,13:21,False,REJECT_SHORT_FLAG_INTERVAL,1,-1.410082,1.0627604166666667,-1.874888392857143,TIME_WINDOW_STOP_LOSS,72.0,2026-06-12T13:21:00+09:00,2026-06-12T14:33:00+09:00,False,False,False,True,False
20260612,2026-06-12T14:06:00+09:00,2026-06-12T14:00:00+09:00,DOWN_BLUE,9,1578,1577,False,TW2_3SLOT_REJECT_TEG,False,REJECT_TIME_WINDOW,True,2.0,AFTERNOON,True,,,5,True,False,False,2,False,1699.6934161971194,866.3927733934088,833.3006428037106,0.07467897259214057,-0.3600918703865152,47.780429772567004,985.9275262542069,0.41152510981614376,0.11876267657173686,1.1606613010904236,14:06,False,TW2_3SLOT_REJECT_TEG,1,4.760169,4.760168776371308,-1.060084388185654,TIME_WINDOW_AFTERNOON_TP,31.0,2026-06-12T14:06:00+09:00,2026-06-12T14:37:00+09:00,False,False,False,True,True
20260615,2026-06-15T11:30:00+09:00,2026-06-15T11:24:00+09:00,UP_RED,3,1652,1651,False,TW2_3SLOT_REJECT_TEG,True,,True,3.0,AFTERNOON,True,,,4,True,False,False,2,False,1045.8866840861042,69.91833614223287,975.9683479438713,0.045671907602013284,-0.011438108791157961,311.096033770591,829.8721598628908,0.3442701099869108,-0.18993625787602408,0.7845691792057136,11:30,False,TW2_3SLOT_REJECT_TEG,1,0.89067,2.0008515364679744,-0.23802295446131067,TIME_WINDOW_PROFIT_LOCK_STOP,153.0,2026-06-15T11:30:00+09:00,2026-06-15T14:03:00+09:00,False,False,False,True,True
